day,ew,pp,tt,mpv,mpv_error,auto_flag,source,source_stage,source_file,in_primary_range
176,0,7,27,134.5336,0.609473,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,7,28,138.795731,0.603868,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,7,29,134.367218,0.611632,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,7,30,136.849075,0.649007,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,7,31,128.968719,0.725328,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,8,1,134.973251,0.739162,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,8,2,129.336884,0.895361,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,8,3,133.502884,0.720216,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,8,4,130.481949,0.635406,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,8,5,130.120529,0.617329,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,8,6,130.434357,0.559563,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,8,7,133.842239,0.567205,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,8,8,131.331772,0.496352,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,8,9,132.237854,0.480713,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,8,10,141.349777,0.557058,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,8,11,139.530701,0.534366,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,8,12,140.484375,0.597629,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,8,13,137.838608,0.573805,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,8,14,140.568314,0.5666,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,8,15,140.243271,0.566794,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,8,16,140.507782,0.582191,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,8,17,137.503525,0.568708,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,8,18,138.137711,0.586451,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,8,19,135.689758,0.571124,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,8,20,139.344055,0.564575,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,8,21,137.431595,0.584659,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,8,22,141.392105,0.620678,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,8,23,136.839935,0.560686,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,8,24,135.868576,0.575564,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,8,25,133.029037,0.563827,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,8,26,135.660568,0.568935,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,8,27,135.531189,0.559039,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,8,28,132.646271,0.612044,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,8,29,134.165863,0.586245,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,8,30,135.247147,0.664393,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,8,31,132.024734,0.646042,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,9,1,136.20076,0.86926,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,9,2,132.080612,0.862259,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,9,3,131.860107,0.71574,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,9,4,131.198486,0.621716,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,9,5,131.409912,0.659522,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
176,0,9,6,128.990097,0.619899,not_flagged,ding,automatic_daily_fit,NmipConstantsDay176.txt,True
