day,ew,pp,tt,reference_mpv,reference_mpv_error,auto_flag,source,source_stage,source_file,period_start,period_end
169,0,6,31,136.864181,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,7,1,130.955476,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,7,2,132.046897,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,7,3,131.033346,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,7,4,133.292836,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,7,5,131.529612,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,7,6,132.208668,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,7,7,131.56322,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,7,8,133.814843,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,7,9,131.079653,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,7,10,138.405737,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,7,11,140.266404,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,7,12,137.508793,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,7,13,138.547762,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,7,14,141.41115,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,7,15,138.864164,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,7,16,139.386478,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,7,17,138.857526,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,7,18,139.357536,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,7,19,138.322356,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,7,20,139.956941,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,7,21,138.698588,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,7,22,140.385016,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,7,23,138.294112,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,7,24,136.871112,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,7,25,133.65626,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,7,26,137.747457,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,7,27,136.975184,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,7,28,139.064928,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,7,29,137.265105,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,7,30,138.626521,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,7,31,132.213545,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,8,1,135.855621,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,8,2,130.471418,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,8,3,135.806874,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,8,4,132.522268,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,8,5,131.20647,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,8,6,132.212394,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,8,7,134.92489,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,8,8,133.224676,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,8,9,133.918699,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,8,10,143.286097,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,8,11,141.912431,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,8,12,142.467718,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,8,13,140.645925,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,8,14,142.687099,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,8,15,142.121927,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,8,16,142.574123,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,8,17,140.223589,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,8,18,140.993436,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,8,19,138.046507,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,8,20,141.258952,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,8,21,139.599404,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,8,22,142.872946,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,8,23,138.889748,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,8,24,138.241381,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,8,25,135.935522,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,8,26,137.185133,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,8,27,136.992101,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,8,28,135.18,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,8,29,136.684887,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,8,30,136.69769,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,8,31,133.171335,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,9,1,136.611044,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,9,2,133.019408,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,9,3,133.564908,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,9,4,132.563856,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,9,5,132.92889,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,9,6,130.327221,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,9,7,132.823694,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,9,8,129.342596,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,9,9,132.360445,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,9,10,138.148616,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,9,11,138.626077,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,9,12,138.879491,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,9,13,137.623624,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,9,14,142.488063,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,9,15,139.20095,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,9,16,139.695674,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,9,17,139.354991,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,9,18,141.444657,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,9,19,137.947957,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,9,20,139.499827,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,9,21,142.051648,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,9,22,142.630401,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,9,23,139.639316,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,9,24,136.498062,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,9,25,135.14191,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,9,26,138.992473,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,9,27,137.955295,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,9,28,136.441439,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,9,29,136.926178,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,9,30,140.920894,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,9,31,136.153419,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
169,0,10,1,133.18534,0.0,not_flagged,cracz,period_reference,Nmip_Day_169.txt,169,175
