ew,pp,tt,period_start,period_end,n_found,n_used,status,median_mpv,max_abs_residual,missing_days,flagged_days,numeric_excluded_days,qa_flag,source,split_day,n_before,n_after,signed_median_shift,notes,constant,constant_error,chi2,ndf,chi2_ndf,max_weight_fraction,dominant_day
0,8,3,176,182,7,7,provisional,133.656815,0.6132080529399957,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,133.58522305294,0.2566913848327118,1.0353560880636743,6,0.17255934801061237,0.20783165277705745,181
0,8,4,176,182,7,7,provisional,130.562012,1.0897039145714302,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,130.45380891457143,0.22539489589445963,8.325963709644563,6,1.3876606182740938,0.2135987329554106,182
0,8,5,176,182,7,7,provisional,130.120529,1.1463635613849021,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,130.4097915613849,0.21950544117476084,10.27419657012689,6,1.7123660950211483,0.21633195988353923,182
0,8,6,176,182,7,7,provisional,130.424118,0.993720635454082,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,130.6483686354541,0.19808143714138354,8.117916614563311,6,1.3529861024272185,0.21319500318824916,181
0,8,7,176,182,7,7,provisional,133.842239,0.9421953439211563,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.09225034392117,0.20238614298858007,9.258724426991467,6,1.5431207378319112,0.20883870166299054,182
0,8,8,176,182,7,7,provisional,131.67038,1.2283370948075572,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,131.87991809480755,0.17919749204658889,11.458046086736758,6,1.9096743477894595,0.21524749874924656,181
0,8,9,176,182,7,7,provisional,132.158005,0.6020181082983811,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,132.04411110829838,0.17604494118887054,5.143069061882223,6,0.8571781769803705,0.21150536778397105,182
0,8,10,176,182,7,7,provisional,141.328186,2.0348310055757395,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,141.35082500557573,0.20248911248832743,19.02947803072641,6,3.1715796717877347,0.20926856757734752,182
0,8,11,176,182,7,7,provisional,139.965408,0.9276533081676916,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,139.9355423081677,0.20037352643726788,4.627556476882625,6,0.7712594128137709,0.2127752185585238,181
0,8,12,176,182,7,7,provisional,140.963455,1.627180259144012,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,140.97155625914402,0.20792224736253206,11.337852710587615,6,1.8896421184312693,0.21111107098433451,181
0,8,13,176,182,7,7,provisional,138.801224,0.7945755950118496,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,138.63318359501184,0.20490495707831044,8.517204576066675,6,1.4195340960111125,0.21076033499452262,181
0,8,14,176,182,7,7,provisional,140.193832,1.4083150142066927,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,140.2845559857933,0.20847630648339177,8.270025001713355,6,1.3783375002855591,0.21792599354666817,181
0,8,15,176,182,7,7,provisional,140.243271,1.2295394739283836,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,140.5855855260716,0.20617687223810974,9.996414716428891,6,1.6660691194048152,0.20752937675496202,181
0,8,16,176,182,7,7,provisional,140.658325,1.0470546422270388,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,140.97063864222704,0.20927238858215402,8.842804516505112,6,1.4738007527508519,0.2204209401954033,182
0,8,17,176,182,7,7,provisional,137.652618,0.6468814032438672,,,,,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,137.81079059675614,0.2030112975316162,3.9620259011173844,6,0.6603376501862307,0.2185610462746466,182
