rank,priority_tier,ew,pp,tt,period_start,period_end,n_found,n_used,status,median_mpv,max_abs_residual,missing_days,flagged_days,numeric_excluded_days,qa_flag,source,split_day,n_before,n_after,signed_median_shift,notes,constant,constant_error,chi2,ndf,chi2_ndf,max_weight_fraction,dominant_day
85,2,1,2,16,176,182,7,7,provisional,130.999222,1.73826905141118,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,131.08013594858883,0.22343087544840318,31.929669680804544,6,5.321611613467424,0.22327473758530017,181
86,2,1,6,26,176,182,7,7,provisional,134.292633,1.9140834659815766,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.54728153401842,0.21511534329395893,31.106402221604533,6,5.184400370267422,0.22097842049401392,181
87,2,1,4,26,176,182,7,7,provisional,137.253098,2.679968074991905,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,136.4883630749919,0.2784992258346264,31.09572913574173,6,5.182621522623622,0.22284120039954688,181
88,2,0,4,29,176,182,7,7,provisional,135.827469,1.6136590593337985,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,135.1050380593338,0.20123360698518952,30.995142744287524,6,5.16585712404792,0.21911198496407128,181
89,2,1,6,25,176,182,7,7,provisional,133.757828,2.417418498836099,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,133.1058034988361,0.2567434450082848,30.860106511720346,6,5.143351085286724,0.22349175905445995,181
90,2,0,5,25,176,182,7,7,provisional,129.873123,2.3211451699953187,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,129.51978416999532,0.22338099170216058,30.710576187865854,6,5.118429364644309,0.20904283248033198,181
91,2,1,5,18,176,182,7,7,provisional,133.703079,2.3454375539742216,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,133.53675255397422,0.25172907151220775,30.33995140731292,6,5.056658567885487,0.21434400389447322,182
92,2,0,5,27,176,182,7,7,provisional,131.534012,1.872559489839233,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,131.67623851016077,0.2173114281730402,30.325465564393337,6,5.054244260732223,0.21354391762350133,181
93,2,1,4,21,176,182,7,7,provisional,141.542267,2.139423654315351,,,,large_chi2_ndf,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,140.73013765431534,0.2515350474191328,30.166622471280228,6,5.027770411880038,0.22519313150362938,182
94,2,0,1,7,176,182,7,7,provisional,118.896744,3.831485022248941,,177;178;181;182,,different_from_nominal,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,120.45079302224894,0.40934785560783554,23.14203257361919,6,3.8570054289365316,0.2354521338055418,180
95,2,1,3,1,176,182,7,7,provisional,120.310989,3.416847030080845,,177;180;181,,different_from_nominal,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,121.98602303008084,0.6856305133205634,17.065137277026764,6,2.8441895461711275,0.326781344066664,182
96,2,0,6,5,176,182,7,7,provisional,122.34185,3.780448212730903,,179,,different_from_nominal,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,123.2983922127309,0.4603653259101881,13.63253581741221,6,2.272089302902035,0.20618290776457524,177
97,2,0,1,5,176,182,7,7,provisional,118.267311,3.0479579600186923,,176;178;179;180;181;182,,different_from_nominal,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,119.13353003998131,0.5888995768992686,8.612312218649269,6,1.4353853697748782,0.22698935339674794,181
98,2,0,6,3,176,182,7,7,provisional,123.414162,3.640821422703098,,178,,different_from_nominal,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,123.1507854227031,0.5533327529603969,7.207240779443937,6,1.2012067965739894,0.233148743976346,181
99,2,0,6,2,176,182,7,7,provisional,117.968796,3.046587381838293,,176;178;179;180;181;182,,different_from_nominal,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,117.98840861816171,0.6541356941923939,5.562195846292822,6,0.9270326410488036,0.2572373643421372,179
100,2,0,1,1,176,182,7,7,provisional,108.796722,5.312030029877619,,176;177;178;179;180;181;182,,different_from_nominal,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,108.04214002987761,0.9404312930651967,4.8914243552439345,6,0.8152373925406557,0.22787123487783162,181
101,2,0,1,2,176,182,7,7,provisional,122.697021,2.6346220958422606,,178,,different_from_nominal,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,122.56448509584226,0.532003359100433,3.5079247953739103,6,0.5846541325623184,0.2695390629355313,181
102,2,1,6,1,176,182,7,7,provisional,100.238625,1.6870353476227535,,176;177;178;179;180;181;182,,different_from_nominal,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,100.68006865237724,0.7687097580012874,2.5447721489974424,6,0.4241286914995737,0.21923302513328866,182
103,2,0,1,3,176,182,7,7,provisional,105.564636,4.116126582381725,,176;177;178;179;180;181;182,,different_from_nominal,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,106.76298458238172,1.2138939003295477,2.0562171950994257,6,0.3427028658499043,0.27023544209828393,180
104,2,1,8,3,176,182,7,7,provisional,119.935394,1.4193905421127653,,176;177;179;180;181;182,,different_from_nominal,ding,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,119.63328054211277,0.6096174053521743,0.9019756995266781,6,0.15032928325444636,0.2502502670147411,182
