ew,pp,tt,period_start,period_end,n_found,n_used,status,median_mpv,max_abs_residual,missing_days,flagged_days,numeric_excluded_days,qa_flag,source,split_day,n_before,n_after,signed_median_shift,notes,constant,constant_error,chi2,ndf,chi2_ndf,max_weight_fraction,dominant_day
0,3,24,162,168,7,7,provisional,135.876556,1.0870491089354175,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,136.2247291089354,0.20643287854564382,12.588594609486147,6,2.0980991015810244,0.3695938084668903,168
0,3,25,162,168,7,7,provisional,135.545715,4.078058558300853,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,136.39765355830085,0.20039752594057228,45.25617444267573,6,7.5426957404459545,0.37274539607595797,168
0,3,26,162,168,7,7,provisional,135.082306,3.179148643069965,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,135.75185664306997,0.19890275103700264,22.40732649432327,6,3.7345544157205453,0.37139822708578535,168
0,3,27,162,168,7,7,provisional,136.291656,2.9733303390689514,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,137.29495533906896,0.20558596532503257,31.21429611330972,6,5.20238268555162,0.37961169943424744,168
0,3,28,162,168,7,7,provisional,136.604095,2.091813540865644,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,137.05725254086565,0.2254581368643815,34.373038889311296,6,5.728839814885216,0.3748627290018158,168
0,3,29,162,168,7,7,provisional,134.158615,5.451508599770079,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.2785024002299,0.20931338098820662,57.04605148613137,6,9.507675247688562,0.3582697762274457,168
0,3,30,162,168,7,7,provisional,133.523651,4.705011334022345,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,133.66721533402236,0.22493106283238928,84.13152032080818,6,14.02192005346803,0.3444835912137076,168
0,3,31,162,168,7,7,provisional,133.967957,5.454991401948149,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.02495859805185,0.20908695551794945,70.01951107928733,6,11.669918513214554,0.3364835352194289,168
0,4,1,162,168,7,7,provisional,137.355804,4.8764520641322235,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,136.8783590641322,0.22342816623716721,104.94369934964935,6,17.49061655827489,0.34227426859222854,168
0,4,2,162,168,7,7,provisional,129.533264,0.9438594884526594,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,129.42617448845266,0.20108008053927656,3.944144316169578,6,0.657357386028263,0.3589484504842205,168
0,4,3,162,168,7,7,provisional,131.717636,2.212020281426078,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,131.38218628142607,0.1922823048053897,31.80166441977864,6,5.30027740329644,0.33498230114093547,168
0,4,4,162,168,7,7,provisional,130.285416,2.739127669970628,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,130.33368666997063,0.19771737940459405,45.069298877744274,6,7.511549812957379,0.3608711076022765,168
0,4,5,162,168,7,7,provisional,133.925781,2.88417742840457,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,133.55416042840457,0.17081462836601485,64.43900459918795,6,10.739834099864659,0.37383344156557713,168
0,4,6,162,168,7,7,provisional,131.50708,1.239680237797387,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,131.1548412377974,0.18329551767495983,14.762987945800232,6,2.4604979909667053,0.3693843192340153,168
0,4,7,162,168,7,7,provisional,134.65625,2.3668630099885775,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,133.84587499001142,0.16485158551354204,26.324446212662163,6,4.387407702110361,0.3858487947717715,168
0,4,8,162,168,7,7,provisional,132.54509,3.5585269348739814,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,132.99230393487397,0.1626003684440219,44.13570257484625,6,7.355950429141042,0.3943528802317715,168
0,4,9,162,168,7,7,provisional,131.25061,1.3566826808637416,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,131.35361568086375,0.1536546795161624,28.138955312127834,6,4.689825885354639,0.3896116336352324,168
0,4,10,162,168,7,7,provisional,138.747482,2.6308610595002904,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,139.1582350595003,0.18258805644378698,29.94513431287858,6,4.990855718813097,0.4052357004190718,168
0,4,11,162,168,7,7,provisional,140.383713,2.442543498299017,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,140.11994249829903,0.17327300457989972,37.71176456945113,6,6.285294094908521,0.39601978808527105,168
0,4,12,162,168,7,7,provisional,139.255371,4.036869366501406,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,140.1763803665014,0.19908329790337087,16.703992254650252,6,2.7839987091083755,0.3902433453233368,168
0,4,13,162,168,7,7,provisional,137.847031,2.4225039187367656,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,137.78015491873677,0.18759733158058872,27.548620484157375,6,4.5914367473595625,0.3932822397815565,168
0,4,14,162,168,7,7,provisional,140.629959,1.3603323413508122,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,140.6204183413508,0.20191981256122835,5.191372854024792,6,0.8652288090041319,0.3884425788195305,168
0,4,15,162,168,7,7,provisional,138.985764,2.6423930931531743,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,139.08587409315317,0.18531781668214192,19.076913798995434,6,3.1794856331659056,0.3838596687522896,168
0,4,16,162,168,7,7,provisional,136.131409,1.9599749782983338,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,136.23376602170165,0.17051607646918396,10.773418610804491,6,1.7955697684674152,0.3799027635186368,168
0,4,17,162,168,7,7,provisional,134.278244,1.5280674439437973,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.7827064439438,0.16471826871205467,24.71906550694788,6,4.11984425115798,0.38716280166111616,168
0,4,18,162,168,7,7,provisional,136.554993,1.2570870476792209,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,136.85173895232077,0.17237665864112414,18.651484782381534,6,3.108580797063589,0.377368899676235,168
0,4,19,162,168,7,7,provisional,136.781281,2.5909835796267657,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,136.37147057962676,0.1708677226619781,32.32513231521378,6,5.38752205253563,0.3878461448105935,168
0,4,20,162,168,7,7,provisional,134.928391,2.2739908969276144,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,135.39455089692763,0.17094602830224984,22.972912060318453,6,3.828818676719742,0.37579840142412513,168
0,4,21,162,168,7,7,provisional,133.443985,2.2333438797812732,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,133.68280687978128,0.17547640721730634,24.492873828164957,6,4.082145638027493,0.3851847678065438,168
0,4,22,162,168,7,7,provisional,134.951157,4.097840700633299,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,135.2774492993667,0.17580806306474797,27.50408692895846,6,4.5840144881597435,0.3752283351586628,168
0,4,23,162,168,7,7,provisional,133.953735,3.348448160954149,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.32234016095416,0.16589117139191775,38.03885554060288,6,6.339809256767147,0.3695185911800583,168
0,4,24,162,168,7,7,provisional,137.489807,0.3668077795053364,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,137.80006222049465,0.1773448772896353,3.4273271565287016,6,0.5712211927547836,0.3740409724838187,168
0,4,25,162,168,7,7,provisional,133.790817,2.145531225887197,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.03373022588718,0.16804921952999727,22.19553691834586,6,3.699256153057643,0.38076455374876517,168
0,4,26,162,168,7,7,provisional,135.462723,2.339861676248404,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,136.3084586762484,0.17725979340007647,28.890650471237898,6,4.815108411872983,0.36987891612341506,168
0,4,27,162,168,7,7,provisional,134.13591,1.78494935164332,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.2379086483567,0.16581098062614982,11.899642071287632,6,1.9832736785479386,0.38341606093748376,168
0,4,28,162,168,7,7,provisional,135.534866,2.0791092687561843,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,136.2337112687562,0.19543923121587067,21.792190930578585,6,3.6320318217630976,0.3613367006191679,168
0,4,29,162,168,7,7,provisional,133.572144,3.430175122119209,,,,large_chi2_ndf,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,134.45239212211922,0.18300934889853127,33.682196746545976,6,5.613699457757662,0.3696817310739709,168
0,4,30,162,168,7,7,provisional,135.523956,2.062840679205152,,,,,yuno,,0,0,,diagnostic_only; no_auto_accept; no_auto_split,135.51456732079484,0.19652515818367236,23.1487642430528,6,3.8581273738421333,0.3719692696333911,168
